levels_orig,New_Level
3701,"NYC-Bronx CD 8--Riverdale, Fieldston & Kingsbridge"
3702,"NYC-Bronx CD 12--Wakefield, Williamsbridge & Woodlawn"
3703,"NYC-Bronx CD 10--Co-op City, Pelham Bay & Schuylerville"
3704,"NYC-Bronx CD 11--Pelham Parkway, Morris Park & Laconia"
3705,"NYC-Bronx CD 3 & 6--Belmont, Crotona Park East & East Tremont"
3706,"NYC-Bronx CD 7--Bedford Park, Fordham North & Norwood"
3707,"NYC-Bronx CD 5--Morris Heights, Fordham South & Mount Hope"
3708,"NYC-Bronx CD 4--Concourse, Highbridge & Mount Eden"
3709,"NYC-Bronx CD 9--Castle Hill, Clason Point & Parkchester"
3710,"NYC-Bronx CD 1 & 2--Hunts Point, Longwood & Melrose"
3801,"NYC-Manhattan CD 12--Washington Heights, Inwood & Marble Hill"
3802,"NYC-Manhattan CD 9--Hamilton Heights, Manhattanville & West Harlem"
3803,NYC-Manhattan CD 10--Central Harlem
3804,NYC-Manhattan CD 11--East Harlem
3805,NYC-Manhattan CD 8--Upper East Side
3806,NYC-Manhattan CD 7--Upper West Side & West Side
3807,"NYC-Manhattan CD 4 & 5--Chelsea, Clinton & Midtown Business District"
3808,"NYC-Manhattan CD 6--Murray Hill, Gramercy & Stuyvesant Town"
3809,NYC-Manhattan CD 3--Chinatown & Lower East Side
3810,"NYC-Manhattan CD 1 & 2--Battery Park City, Greenwich Village & Soho"
3901,"NYC-Staten Island CD 3--Tottenville, Great Kills & Annadale"
3902,NYC-Staten Island CD 2--New Springville & South Beach
3903,"NYC-Staten Island CD 1--Port Richmond, Stapleton & Mariner's Harbor"
4001,NYC-Brooklyn CD 1--Greenpoint & Williamsburg
4002,NYC-Brooklyn CD 4--Bushwick
4003,NYC-Brooklyn CD 3--Bedford-Stuyvesant
4004,NYC-Brooklyn CD 2--Brooklyn Heights & Fort Greene
4005,"NYC-Brooklyn CD 6--Park Slope, Carroll Gardens & Red Hook"
4006,NYC-Brooklyn CD 8--Crown Heights North & Prospect Heights
4007,NYC-Brooklyn CD 16--Brownsville & Ocean Hill
4008,NYC-Brooklyn CD 5--East New York & Starrett City
4009,NYC-Brooklyn CD 18--Canarsie & Flatlands
4010,"NYC-Brooklyn CD 17--East Flatbush, Farragut & Rugby"
4011,"NYC-Brooklyn CD 9--Crown Heights South, Prospect Lefferts & Wingate"
4012,NYC-Brooklyn CD 7--Sunset Park & Windsor Terrace
4013,NYC-Brooklyn CD 10--Bay Ridge & Dyker Heights
4014,"NYC-Brooklyn CD 12--Borough Park, Kensington & Ocean Parkway"
4015,NYC-Brooklyn CD 14--Flatbush & Midwood
4016,"NYC-Brooklyn CD 15--Sheepshead Bay, Gerritsen Beach & Homecrest"
4017,NYC-Brooklyn CD 11--Bensonhurst & Bath Beach
4018,NYC-Brooklyn CD 13--Brighton Beach & Coney Island
4101,NYC-Queens CD 1--Astoria & Long Island City
4102,NYC-Queens CD 3--Jackson Heights & North Corona
4103,"NYC-Queens CD 7--Flushing, Murray Hill & Whitestone"
4104,"NYC-Queens CD 11--Bayside, Douglaston & Little Neck"
4105,"NYC-Queens CD 13--Queens Village, Cambria Heights & Rosedale"
4106,"NYC-Queens CD 8--Briarwood, Fresh Meadows & Hillcrest"
4107,NYC-Queens CD 4--Elmhurst & South Corona
4108,NYC-Queens CD 6--Forest Hills & Rego Park
4109,NYC-Queens CD 2--Sunnyside & Woodside
4110,"NYC-Queens CD 5--Ridgewood, Glendale & Middle Village"
4111,NYC-Queens CD 9--Richmond Hill & Woodhaven
4112,"NYC-Queens CD 12--Jamaica, Hollis & St. Albans"
4113,NYC-Queens CD 10--Howard Beach & Ozone Park
4114,"NYC-Queens CD 14--Far Rockaway, Breezy Point & Broad Channel"
